"","power","time","gasAir","gasArgon","gasNitrogen","pressure","ratio"
"1",2170,1822,0,1,0,49,2.164596288
"2",2069,18445,0,1,0,83,1.311588701
"3",3063,4467,0,1,0,57,1.506054899
"4",4060,9988,0,1,0,27,1.749203774
"5",2678,4279,0,1,0,92,1.747805859
"6",3099,18787,0,1,0,91,1.587991226
"7",4431,3854,0,1,0,27,2.574391023
"8",5239,14517,0,0,1,23,1.709504405
"9",4585,14485,0,0,1,100,1.646495202
"10",5069,2735,0,0,1,48,1.80933673
"11",3584,1131,1,0,0,2,1.222288448
"12",4564,18002,1,0,0,5,1.179406971
"13",1537,6043,1,0,0,7,1.109779529
"14",2697,8206,1,0,0,54,0
"15",1105,12381,1,0,0,86,0
"16",5321,16727,1,0,0,51,0
"17",1511,16433,1,0,0,50,0
"18",1883,16859,1,0,0,99,0
"19",3302,2414,1,0,0,86,0
"20",5153,19318,1,0,0,78,0
"21",4325,3384,0,1,0,26,1.830219592
"22",4288,3317,0,1,0,33,1.945945988
"23",5541,3918,0,1,0,29,1.867738315
"24",4491,3327,0,1,0,30,1.956022176
"25",4325,3327,0,1,0,37,1.871219493
"26",2159,1795,0,1,0,49,1.972045841
"27",2258,1578,0,1,0,49,1.638127153
"28",4315,3904,0,1,0,26,1.958426327
"29",4317,3311,0,1,0,37,1.629505096
"30",4326,4041,0,1,0,34,2.22292658
"31",4437,3322,0,1,0,37,2.545561735
"32",4267,4015,0,1,0,37,2.228305042
"33",4320,3303,0,1,0,34,2.157291402
"34",2201,1752,0,1,0,49,1.820200009
"35",4265,3299,0,1,0,39,1.713611055
"36",1945,2113,0,1,0,50,2.162882186
"37",1854,1815,0,1,0,47,2.341603704
"38",1696,2206,0,1,0,44,1.698681008
"39",4380,3862,0,1,0,28,1.873571266
"40",4408,3623,0,1,0,27,2.124051017
"41",2188,2858,0,1,0,88,1.331626512
"42",1922,2139,0,1,0,50,1.72687692
"43",1517,1976,0,1,0,50,1.63669468
"44",1456,15566,0,1,0,50,1.132972773
"45",4938,3323,0,1,0,36,1.846351998
"46",4420,3791,0,1,0,27,2.332219693
"47",4464,2323,0,1,0,87,1.786815477
