"","power","time","gas.Air","gas.Argon","gas.Nitrogen","pressure","ratio"
"1",1004,10624,0,1,0,660,2.65884223
"2",1008,10500,0,1,0,720,3.424371829
"3",1013,10475,0,1,0,720,3.182223683
"4",1095,19029,0,1,0,940,2.776420163
"5",1105,12381,1,0,0,860,0.12
"6",1108,9828,0,0,1,820,0.953560013
"7",1206,19145,0,1,0,920,3.245754845
"8",1211,19279,0,1,0,470,3.228924409
"9",123,14994,0,0,1,220,1.234061595
"10",1249,19711,0,1,0,460,3.249050132
"11",1280,17180,0,1,0,980,2.177099828
"12",1285,1922,0,1,0,990,3.132160852
"13",1286,15717,0,1,0,530,2.891256344
"14",1286,18227,1,0,0,920,0.12
"15",1286,18626,0,1,0,930,1.67188718
"16",1287,9365,0,1,0,920,2.486961786
"17",1288,19449,0,1,0,920,2.964636773
"18",1288,19515,0,1,0,920,2.446689168
"19",1293,9319,0,1,0,940,3.307882968
"20",1300,9324,0,1,0,1000,3.370876358
"21",1304,9321,0,1,0,1000,3.582150476
"22",1307,9322,0,1,0,1000,5.159847662
"23",1315,9331,0,1,0,980,3.92767588
"24",1316,10972,0,0,1,200,1.2159602
"25",1329,9605,0,1,0,990,3.766115716
"26",1333,6623,0,1,0,970,3.45655082
"27",1341,10625,0,1,0,700,3.264845323
"28",1343,9585,0,1,0,980,4.276949681
"29",1355,9322,0,1,0,1000,3.062587782
"30",1403,16863,0,1,0,990,2.68061448
"31",1408,2841,0,1,0,880,3.193382374
"32",1450,15621,0,1,0,510,3.05041702
"33",1457,2629,0,1,0,890,3.080188754
"34",1468,7549,0,0,1,20,2.722335204
"35",1474,6454,0,0,1,20,1.861073482
"36",1491,19728,0,1,0,400,2.731740027
"37",1511,16433,1,0,0,500,0.12
"38",1518,17231,0,1,0,890,3.308118401
"39",1521,17553,0,1,0,820,3.490871423
"40",1527,18520,0,1,0,310,1.791615889
"41",1537,6043,1,0,0,70,0.921751931
"42",1542,18514,0,1,0,310,3.274632664
"43",1546,18375,0,1,0,320,1.818586293
"44",1560,9314,0,1,0,1000,3.230997225
"45",1574,11017,0,1,0,1000,2.932014539
"46",1575,6634,0,0,1,20,2.596027828
"47",1596,18198,0,1,0,310,2.909999609
"48",1610,1822,0,1,0,730,3.243461912
"49",1665,18552,0,1,0,310,2.289480755
"50",1703,10481,0,1,0,960,3.007009955
"51",1717,10382,0,1,0,970,3.16631637
"52",1720,1831,0,1,0,80,1.682780666
"53",1735,10293,0,0,1,970,1.175244034
"54",1736,10319,0,0,1,970,1.051970301
"55",1738,10331,0,1,0,810,3.301696296
"56",1739,10379,0,1,0,990,4.724743249
"57",1740,10379,0,1,0,970,3.700694716
"58",1757,10378,0,1,0,970,5.499063387
"59",1760,11229,0,1,0,970,3.207143574
