"","f","k","du","dv","interface"
"1",0.131292165,0.017578154,0.03139617,0.000225031,24.34570313
"2",0.19770747,0.030845485,3.2e-06,7.25e-07,6.5625
"3",0.171151892,0.090540174,0.000518793,5.26e-05,54.11132813
"4",0.004154326,0.059356335,8.34e-05,5.78e-07,110.6152344
"5",0.082275838,0.011302566,0.000362666,4.19e-05,0
"6",0.138880238,0.065464559,0.000673447,0.000434425,0
"7",0.028912649,0.002740594,0.000136938,6.09e-05,0
"8",0.125394062,0.038080497,6.24e-05,5.61e-05,0
"9",0.060894719,0.018386465,0.000308283,0.000145643,0
"10",0.191991481,0.008964014,0.003030884,5.88e-06,121.9335938
"11",0.030327043,0.02723193,1.79e-06,1.34e-06,0
"12",0.078783708,0.002535049,1.63e-06,7.83e-07,0
"13",0.025585604,0.010485333,0.000126441,7.01e-05,0
"14",0.194615653,0.031492742,0.000117604,2.13e-05,139.9707031
"15",0.146743286,0.041572785,0.000451355,0.000447333,0
"16",0.181611898,0.084414643,0.000296526,1.28e-05,167.65625
"17",0.203405068,0.049222996,0.000117959,3.01e-05,0
"18",0.096782811,0.077099382,1.25e-05,1.43e-06,8.75
"19",0.14387903,0.013799479,0.017823668,3.16e-06,5.3125
"20",0.130176995,0.059766478,0.000320575,8.07e-07,46.5234375
"21",0.011357766,0.085237616,0.000745773,2.89e-05,29.26757813
"22",0.038510251,0.044398573,0.013659552,0.003460402,0
"23",0.114050145,0.060117516,0.000346406,1e-06,60.9375
"24",0.246269965,0.077902899,1.11e-05,7.49e-06,0
"25",0.167434868,0.014027956,0.036137088,0.000194976,19.43359375
"26",0.064417834,0.046863913,2.25e-05,2.03e-07,10.078125
"27",0.074901483,0.053696886,5.84e-05,1.14e-05,7.7734375
"28",0.203561549,0.090535764,0.000587282,0.000218846,0
"29",0.001998611,0.02789919,0.01025196,1.75e-05,21.46484375
"30",0.24323615,0.041347435,0.000386037,0.000146402,0
"31",0.058319772,0.022668332,0.00089089,3.28e-05,0
"32",0.028355383,0.06698305,0.012717341,2.29e-05,20.3125
